objectid,filename,title,format,description,creator,subject,rightsstatement,source,type,latitude,longitude
GIB001000032001,https://archive.org/download/GIB001000032001/GIB001000032001.jpg,Exbridge NR Dulverton - Parabola Arches,image/jpeg,In envelope titled: Exbridge Nr Dulverton - Arch Bridge.,"Gibson, Adrian, 1931-2006",industrial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.009562,-3.5267858
GIB001000032002,https://archive.org/download/GIB001000032002/GIB001000032002.jpg,Exbridge NR Dulverton - Parabola,image/jpeg,In envelope titled: Exbridge Nr Dulverton - Arch Bridge.,"Gibson, Adrian, 1931-2006",industrial,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,51.009562,-3.5267858
GIB001000067005,https://archive.org/download/GIB001000067005/GIB001000067005.JPG,Valle Crucis Abbey W. [West] Front,image/jpeg,In envelope titled: Valle Crucis [Abbey].,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.988689,-3.1867857
GIB001000067010,https://archive.org/download/GIB001000067010/GIB001000067010.JPG,Valle Crucis Abbey Chapel No Undercroft,image/jpeg,In envelope titled: Valle Crucis [Abbey].,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.988689,-3.1867857
GIB001000067012,https://archive.org/download/GIB001000067012/GIB001000067012.JPG,Valle Crucis Abbey from S.W,image/jpeg,In envelope titled: Valle Crucis [Abbey].,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.988689,-3.1867857
GIB001000067014,https://archive.org/download/GIB001000067014/GIB001000067014.JPG,Valle Crucis Abbey Chapter House Door + Book Recess,image/jpeg,In envelope titled: Valle Crucis [Abbey].,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.988689,-3.1867857
GIB001000067015,https://archive.org/download/GIB001000067015/GIB001000067015.JPG,Valle Crucis Abbey Capitals,image/jpeg,In envelope titled: Valle Crucis [Abbey].,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.988689,-3.1867857
GIB001000087003,https://archive.org/download/GIB001000087003/GIB001000087003.jpg,Blythburgh CH Angel,image/jpeg,In envelope titled: Blythburgh.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.321264,1.5949603
GIB001000087005,https://archive.org/download/GIB001000087005/GIB001000087005.jpg,Blythburgh CH Buttress,image/jpeg,In envelope titled: Blythburgh.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.321264,1.5949603
GIB001000087007,https://archive.org/download/GIB001000087007/GIB001000087007.jpg,Blythburgh Masons Mark,image/jpeg,In envelope titled: Blythburgh.,"Gibson, Adrian, 1931-2006",religious,http://creativecommons.org/licenses/by/4.0/,"Adrian Gibson archive, Special Collections and Archives, Cardiff University",Image;StillImage,52.321264,1.5949603
